tEvent,tPerception,tReaction,eventToPerception,eventToReaction,perceptionToReaction
21757525867433,21757591440180,21757594551369,65572747,68683936,3111189
21759932647500,21760032530493,21760033027446,99882993,100379946,496953
21762717791038,21762764474150,21762764900731,46683112,47109693,426581
21764973745387,21764990704635,21764991268069,16959248,17522682,563434
21767476906836,21767519211784,21767519758428,42304948,42851592,546644
21770139422965,21770147814101,21770148393926,8391136,8970961,579825
21772018040743,21772068460575,21772068892886,50419832,50852143,432311
21775050663397,21775098942378,21775099485792,48278981,48822395,543414
21778035167513,21778128835443,21778129401057,93667930,94233544,565614
21780838042569,21780857507138,21780857946339,19464569,19903770,439201
21783059743491,21783079691922,21783080207835,19948431,20464344,515913
21784601972432,21784696919866,21784697350887,94947434,95378455,431021
21787492221494,21787534401566,21787534846478,42180072,42624984,444912
21790386679536,21790471098782,21790471529913,84419246,84850377,431131
21793166341631,21793202846853,21793203269844,36505222,36928213,422991
21795140130309,21795224662623,21795225142845,84532314,85012536,480222
21798037964897,21798058667469,21798059180472,20702572,21215575,513003
21800379887132,21800381164379,21800381656111,1277247,1768979,491732
21803012376532,21803109630783,21803110119035,97254251,97742503,488252
21805969831431,21806039158450,21806039610042,69327019,69778611,451592
21808574372944,21808666019151,21808666373430,91646207,92000486,354279
21810852235754,21810887989307,21810888390937,35753553,36155183,401630
21813478254962,21813514068508,21813514457218,35813546,36202256,388710
21816493283027,21816542450125,21816542807975,49167098,49524948,357850
21819519659194,21819571494677,21819571861156,51835483,52201962,366479
21822261742529,21822298796858,21822299274359,37054329,37531830,477501
21824036019803,21824117083853,21824117501383,81064050,81481580,417530
21826373311673,21826439147490,21826439552369,65835817,66240696,404879
21828879349537,21828962605910,21828963028566,83256373,83679029,422656
21831218822892,21831285058960,21831285444017,66236068,66621125,385057
21833395286804,21833405256967,21833405604693,9970163,10317889,347726
21835680450943,21835726512563,21835727021971,46061620,46571028,509408
21837669718699,21837747766690,21837748121370,78047991,78402671,354680
21840572989554,21840574375972,21840574729072,1386418,1739518,353100
21842870578827,21842896322601,21842896699652,25743774,26120825,377051
21845302637894,21845321866193,21845322232513,19228299,19594619,366320
21847411078300,21847442596473,21847443013874,31518173,31935574,417401
21850299783703,21850370563990,21850371046863,70780287,71263160,482873
21852348885655,21852392616750,21852393052341,43731095,44166686,435591
21854771845961,21854826156011,21854826548261,54310050,54702300,392250
21857082464066,21857151319167,21857151787349,68855101,69323283,468182
21859326633186,21859374830562,21859375302453,48197376,48669267,471891
21861971078561,21862003412603,21862003815233,32334042,32736672,402630
21863523611184,21863621694286,21863622124486,98083102,98513302,430200
21866524901168,21866553196921,21866553610181,28295753,28709013,413260
21868639419914,21868678313021,21868678904876,38893107,39484962,591855
21870640570133,21870699866198,21870700322200,59296065,59752067,456002
21873119203929,21873127797241,21873128233422,8593312,9029493,436181
21875273013436,21875352649906,21875353117208,79636470,80103772,467302
21878085864499,21878182493097,21878183066612,96628598,97202113,573515
21880387853368,21880404579176,21880405070479,16725808,17217111,491303
21883345826681,21883434901691,21883435368643,89075010,89541962,466952
21885771136433,21885861989113,21885862352502,90852680,91216069,363389
21888115229024,21888187410620,21888187816219,72181596,72587195,405599
21891130612066,21891219652539,21891220843886,89040473,90231820,1191347
21893557107443,21893648987419,21893649453660,91879976,92346217,466241
21895407234112,21895469186874,21895469608134,61952762,62374022,421260
21897708412954,21897792955229,21897793361319,84542275,84948365,406090
21900418171878,21900421009116,21900421524109,2837238,3352231,514993
21902140246019,21902141232944,21902141643944,986925,1397925,411000
21905100433359,21905171867360,21905172384523,71434001,71951164,517163
21907558089880,21907596807276,21907597321799,38717396,39231919,514523
21909337004271,21909416747501,21909417282334,79743230,80278063,534833
21910975954661,21911035300415,21911035727035,59345754,59772374,426620
21912736574676,21912753786101,21912754208511,17211425,17633835,422410
21915694003246,21915786414675,21915786858336,92411429,92855090,443661
21918059724146,21918110092644,21918110464123,50368498,50739977,371479
21920563351851,21920635286204,21920635601952,71934353,72250101,315748
21922994537454,21923060473415,21923060904156,65935961,66366702,430741
21925032690554,21925081236724,21925081701026,48546170,49010472,464302
21926642536562,21926699188505,21926699574935,56651943,57038373,386430
21929464444743,21929529599190,21929529971030,65154447,65526287,371840
21931656888018,21931752195011,21931752580991,95306993,95692973,385980
21933296426653,21933370608207,21933370946625,74181554,74519972,338418
21936046805607,21936098590348,21936099058940,51784741,52253333,468592
21938113780750,21938120910934,21938121342786,7130184,7562036,431852
21940643105026,21940645790503,21940646149852,2685477,3044826,359349
21943076993491,21943171524110,21943171840898,94530619,94847407,316788
21945024720856,21945089528277,21945089875456,64807421,65154600,347179
21946893745116,21946909262287,21946909619286,15517171,15874170,356999
21948587476591,21948632114730,21948632560869,44638139,45084278,446139
21951549374643,21951563475179,21951563837467,14100536,14462824,362288
21954081674532,21954088815515,21954089322311,7140983,7647779,506796
21956064006416,21956109384470,21956109961906,45378054,45955490,577436
21959094600310,21959139227981,21959139635822,44627671,45035512,407841
21961426496031,21961462634921,21961463076094,36138890,36580063,441173
21963573865142,21963585016031,21963585334440,11150889,11469298,318409
21965232267822,21965301859158,21965302347722,69591336,70079900,488564
21967123139220,21967221131383,21967221546415,97992163,98407195,415032
21969818431810,21969849164870,21969849482550,30733060,31050740,317680
21971984383701,21972070911315,21972071289747,86527614,86906046,378432
21973986140610,21973990388825,21973990699993,4248215,4559383,311168
21976582592666,21976615713741,21976616028380,33121075,33435714,314639
21978945922376,21979039104333,21979039406860,93181957,93484484,302527
21981114315254,21981159545988,21981159915028,45230734,45599774,369040
21983826766973,21983887175984,21983887496133,60409011,60729160,320149
21986598398560,21986614581864,21986614890352,16183304,16491792,308488
21989086787009,21989138714890,21989139072479,51927881,52285470,357589
21991987951960,21992066562152,21992066895511,78610192,78943551,333359
21994635781761,21994691918808,21994692232796,56137047,56451035,313988
