Java Processes Log
iteration: 60 ; CPU: 56.00% ; MEM: 564.65 MB
iteration: 61 ; CPU: 62.16% ; MEM: 584.96 MB
iteration: 62 ; CPU: 64.16% ; MEM: 586.72 MB
iteration: 63 ; CPU: 64.16% ; MEM: 586.72 MB
iteration: 64 ; CPU: 64.16% ; MEM: 586.72 MB
iteration: 65 ; CPU: 64.16% ; MEM: 586.72 MB
iteration: 66 ; CPU: 41.83% ; MEM: 586.72 MB
iteration: 67 ; CPU: 41.83% ; MEM: 586.89 MB
iteration: 68 ; CPU: 41.83% ; MEM: 586.89 MB
iteration: 69 ; CPU: 41.83% ; MEM: 586.89 MB
iteration: 70 ; CPU: 41.83% ; MEM: 586.89 MB
iteration: 71 ; CPU: 41.83% ; MEM: 586.89 MB
iteration: 72 ; CPU: 41.83% ; MEM: 586.89 MB
iteration: 73 ; CPU: 32.50% ; MEM: 586.89 MB
iteration: 74 ; CPU: 32.50% ; MEM: 586.89 MB
iteration: 75 ; CPU: 32.50% ; MEM: 587.25 MB
iteration: 76 ; CPU: 33.33% ; MEM: 593.04 MB
iteration: 77 ; CPU: 33.33% ; MEM: 593.04 MB
iteration: 78 ; CPU: 33.33% ; MEM: 593.06 MB
iteration: 79 ; CPU: 33.33% ; MEM: 593.06 MB
iteration: 80 ; CPU: 27.66% ; MEM: 593.06 MB
iteration: 81 ; CPU: 27.66% ; MEM: 593.06 MB
iteration: 82 ; CPU: 27.66% ; MEM: 593.06 MB
iteration: 83 ; CPU: 27.83% ; MEM: 593.12 MB
iteration: 84 ; CPU: 27.83% ; MEM: 593.17 MB
iteration: 85 ; CPU: 27.83% ; MEM: 593.17 MB
iteration: 86 ; CPU: 27.83% ; MEM: 593.17 MB
iteration: 87 ; CPU: 24.00% ; MEM: 593.17 MB
iteration: 88 ; CPU: 24.00% ; MEM: 593.17 MB
iteration: 89 ; CPU: 24.00% ; MEM: 593.17 MB
iteration: 90 ; CPU: 24.16% ; MEM: 590.58 MB
iteration: 91 ; CPU: 24.16% ; MEM: 590.75 MB
iteration: 92 ; CPU: 24.33% ; MEM: 590.85 MB
iteration: 93 ; CPU: 24.33% ; MEM: 590.85 MB
iteration: 94 ; CPU: 21.50% ; MEM: 593.38 MB
iteration: 95 ; CPU: 21.66% ; MEM: 593.47 MB
iteration: 96 ; CPU: 21.83% ; MEM: 593.54 MB
iteration: 97 ; CPU: 22.00% ; MEM: 593.65 MB
iteration: 98 ; CPU: 22.00% ; MEM: 593.74 MB
iteration: 99 ; CPU: 22.16% ; MEM: 593.81 MB
iteration: 100 ; CPU: 22.50% ; MEM: 609.00 MB
iteration: 101 ; CPU: 20.16% ; MEM: 609.00 MB
iteration: 102 ; CPU: 20.33% ; MEM: 609.20 MB
iteration: 103 ; CPU: 20.33% ; MEM: 609.20 MB
iteration: 104 ; CPU: 20.33% ; MEM: 609.28 MB
iteration: 105 ; CPU: 20.66% ; MEM: 609.28 MB
iteration: 106 ; CPU: 20.66% ; MEM: 609.39 MB
iteration: 107 ; CPU: 20.66% ; MEM: 609.39 MB
iteration: 108 ; CPU: 18.83% ; MEM: 609.48 MB
iteration: 109 ; CPU: 18.83% ; MEM: 609.48 MB
iteration: 110 ; CPU: 18.83% ; MEM: 609.60 MB
iteration: 111 ; CPU: 18.83% ; MEM: 609.66 MB
iteration: 112 ; CPU: 18.83% ; MEM: 609.66 MB
iteration: 113 ; CPU: 19.00% ; MEM: 609.75 MB
iteration: 114 ; CPU: 19.00% ; MEM: 609.75 MB
iteration: 115 ; CPU: 17.33% ; MEM: 609.84 MB
iteration: 116 ; CPU: 17.50% ; MEM: 609.89 MB
iteration: 117 ; CPU: 17.50% ; MEM: 610.04 MB
iteration: 118 ; CPU: 17.50% ; MEM: 610.10 MB
iteration: 119 ; CPU: 17.50% ; MEM: 610.10 MB
iteration: 120 ; CPU: 17.66% ; MEM: 610.21 MB
iteration: 121 ; CPU: 17.66% ; MEM: 610.29 MB
iteration: 122 ; CPU: 16.16% ; MEM: 610.29 MB
iteration: 123 ; CPU: 16.33% ; MEM: 610.36 MB
iteration: 124 ; CPU: 16.33% ; MEM: 610.36 MB
iteration: 125 ; CPU: 16.33% ; MEM: 603.31 MB
iteration: 126 ; CPU: 16.33% ; MEM: 603.41 MB
iteration: 127 ; CPU: 16.33% ; MEM: 603.67 MB
iteration: 128 ; CPU: 15.16% ; MEM: 603.78 MB
iteration: 129 ; CPU: 15.16% ; MEM: 603.78 MB
iteration: 130 ; CPU: 15.16% ; MEM: 603.87 MB
iteration: 131 ; CPU: 15.33% ; MEM: 603.87 MB
iteration: 132 ; CPU: 15.33% ; MEM: 603.95 MB
iteration: 133 ; CPU: 15.33% ; MEM: 603.95 MB
iteration: 134 ; CPU: 15.33% ; MEM: 603.95 MB
iteration: 135 ; CPU: 14.16% ; MEM: 603.95 MB
iteration: 136 ; CPU: 14.16% ; MEM: 603.95 MB
iteration: 137 ; CPU: 14.33% ; MEM: 604.03 MB
iteration: 138 ; CPU: 14.33% ; MEM: 604.03 MB
iteration: 139 ; CPU: 14.33% ; MEM: 604.19 MB
iteration: 140 ; CPU: 14.33% ; MEM: 605.30 MB
iteration: 141 ; CPU: 14.50% ; MEM: 605.30 MB
iteration: 142 ; CPU: 13.66% ; MEM: 605.39 MB
iteration: 143 ; CPU: 13.66% ; MEM: 605.42 MB
iteration: 144 ; CPU: 13.66% ; MEM: 605.44 MB
iteration: 145 ; CPU: 13.66% ; MEM: 605.48 MB
iteration: 146 ; CPU: 13.66% ; MEM: 605.48 MB
iteration: 147 ; CPU: 13.66% ; MEM: 605.48 MB
iteration: 148 ; CPU: 13.66% ; MEM: 605.48 MB
iteration: 149 ; CPU: 13.00% ; MEM: 605.58 MB
iteration: 150 ; CPU: 13.00% ; MEM: 605.65 MB
iteration: 151 ; CPU: 13.00% ; MEM: 605.65 MB
iteration: 152 ; CPU: 13.00% ; MEM: 605.65 MB
iteration: 153 ; CPU: 13.16% ; MEM: 605.73 MB
iteration: 154 ; CPU: 13.16% ; MEM: 605.73 MB
iteration: 155 ; CPU: 13.16% ; MEM: 605.73 MB
iteration: 156 ; CPU: 12.33% ; MEM: 605.83 MB
iteration: 157 ; CPU: 12.33% ; MEM: 606.35 MB
iteration: 158 ; CPU: 12.33% ; MEM: 606.35 MB
iteration: 159 ; CPU: 12.33% ; MEM: 606.35 MB
iteration: 160 ; CPU: 12.33% ; MEM: 606.43 MB
iteration: 161 ; CPU: 12.50% ; MEM: 606.48 MB
iteration: 162 ; CPU: 12.50% ; MEM: 606.48 MB
iteration: 163 ; CPU: 11.83% ; MEM: 606.48 MB
iteration: 164 ; CPU: 12.00% ; MEM: 608.28 MB
iteration: 165 ; CPU: 12.00% ; MEM: 608.28 MB
iteration: 166 ; CPU: 12.00% ; MEM: 608.28 MB
iteration: 167 ; CPU: 12.00% ; MEM: 608.65 MB
iteration: 168 ; CPU: 12.00% ; MEM: 608.65 MB
iteration: 169 ; CPU: 12.00% ; MEM: 608.65 MB
iteration: 170 ; CPU: 11.50% ; MEM: 608.71 MB
iteration: 171 ; CPU: 11.50% ; MEM: 608.74 MB
iteration: 172 ; CPU: 11.50% ; MEM: 608.74 MB
iteration: 173 ; CPU: 11.50% ; MEM: 608.74 MB
iteration: 174 ; CPU: 11.50% ; MEM: 608.90 MB
iteration: 175 ; CPU: 11.50% ; MEM: 608.90 MB
iteration: 176 ; CPU: 11.50% ; MEM: 609.00 MB
iteration: 177 ; CPU: 11.00% ; MEM: 609.00 MB
iteration: 178 ; CPU: 11.00% ; MEM: 609.07 MB
iteration: 179 ; CPU: 11.00% ; MEM: 609.07 MB
iteration: 180 ; CPU: 11.00% ; MEM: 609.07 MB
iteration: 181 ; CPU: 11.16% ; MEM: 609.14 MB
iteration: 182 ; CPU: 11.16% ; MEM: 609.44 MB
iteration: 183 ; CPU: 11.16% ; MEM: 609.44 MB
iteration: 184 ; CPU: 10.66% ; MEM: 609.49 MB
iteration: 185 ; CPU: 10.66% ; MEM: 609.49 MB
iteration: 186 ; CPU: 10.66% ; MEM: 609.49 MB
iteration: 187 ; CPU: 10.66% ; MEM: 609.49 MB
iteration: 188 ; CPU: 10.66% ; MEM: 609.57 MB
iteration: 189 ; CPU: 10.66% ; MEM: 609.57 MB
iteration: 190 ; CPU: 10.16% ; MEM: 609.57 MB
iteration: 191 ; CPU: 10.16% ; MEM: 609.57 MB
iteration: 192 ; CPU: 10.16% ; MEM: 609.57 MB
iteration: 193 ; CPU: 10.16% ; MEM: 609.57 MB
iteration: 194 ; CPU: 10.33% ; MEM: 609.71 MB
iteration: 195 ; CPU: 10.33% ; MEM: 609.71 MB
iteration: 196 ; CPU: 10.33% ; MEM: 609.71 MB
iteration: 197 ; CPU: 10.00% ; MEM: 609.78 MB
iteration: 198 ; CPU: 10.00% ; MEM: 609.78 MB
iteration: 199 ; CPU: 10.00% ; MEM: 609.78 MB
iteration: 200 ; CPU: 10.00% ; MEM: 609.86 MB
iteration: 201 ; CPU: 10.00% ; MEM: 609.86 MB
iteration: 202 ; CPU: 10.00% ; MEM: 609.86 MB
iteration: 203 ; CPU: 10.00% ; MEM: 609.86 MB
iteration: 204 ; CPU: 9.66% ; MEM: 609.86 MB
iteration: 205 ; CPU: 9.66% ; MEM: 609.93 MB
iteration: 206 ; CPU: 9.66% ; MEM: 609.93 MB
iteration: 207 ; CPU: 9.66% ; MEM: 609.93 MB
iteration: 208 ; CPU: 9.66% ; MEM: 609.93 MB
iteration: 209 ; CPU: 9.66% ; MEM: 609.99 MB
iteration: 210 ; CPU: 9.66% ; MEM: 609.99 MB
iteration: 211 ; CPU: 9.33% ; MEM: 609.99 MB
iteration: 212 ; CPU: 9.33% ; MEM: 610.25 MB
iteration: 213 ; CPU: 9.33% ; MEM: 610.25 MB
iteration: 214 ; CPU: 9.33% ; MEM: 610.25 MB
