10327.336870198	10327.534552504	197.68
10328.540904555	10328.562798081	21.89
10329.574385625	10329.673953542	99.57
10330.677491697	10330.682502166	5.01
10331.690302706	10331.792395609	102.09
10332.803628742	10332.901266827	97.64
10333.90698498	10333.909640089	2.66
10334.919727588	10335.021942362	102.21
10336.033033655	10336.13138134	98.35
10337.135868585	10337.140163148	4.29
10338.147734344	10338.249563001	101.83
10339.260981019	10339.358835895	97.85
10340.363702065	10340.36730252	3.60
10341.375894879	10341.477549357	101.65
10342.48907998	10342.587046835	97.97
10343.591863802	10343.59490773	3.04
10344.604190892	10344.70315527	98.96
10345.706917628	10345.710967962	4.05
10346.719066118	10346.819809305	100.74
10347.831864981	10347.931267567	99.40
Total events: 20
