8627.051070359	8627.092752049	41.68
8628.099041123	8628.230253239	131.21
8629.231386858	8629.28307639	51.69
8630.292116781	8630.438088036	145.97
8631.448516871	8631.493064947	44.55
8632.496357073	8632.497885181	1.53
8633.50848055	8633.651515333	143.03
8634.65288592	8634.654976475	2.09
8635.664992172	8635.708565287	43.57
8636.713945096	8636.863186706	149.24
8637.870050629	8637.917268278	47.22
8638.93011141	8639.071500328	141.39
8640.076051888	8640.125118	49.07
8641.135156512	8641.279723441	144.57
8642.291283138	8642.332045001	40.76
8643.339394794	8643.486292163	146.90
8644.496566178	8644.539407918	42.84
8645.54388055	8645.693310871	149.43
8646.700039917	8646.746204197	46.16
8647.748143121	8647.750091185	1.95
Total events: 20
