1981.143391528	1981.580654308	437.26
1985.677843374	1985.738849974	61.01
1990.535069579	1990.991286078	456.22
1994.401124918	1995.193648083	792.52
1999.233120767	1999.395922237	162.80
2003.420105085	2003.598154331	178.05
2008.24513227	2008.850610641	605.48
2012.929127938	2013.052927666	123.80
2017.933094908	2018.305334795	372.24
2022.391633838	2022.507405795	115.77
2025.969081594	2026.70965068	740.57
2030.502223429	2030.911846483	409.62
2035.389128452	2036.164183564	775.06
2041.028097429	2041.416531531	388.43
2045.289125395	2045.618757779	329.63
2050.156364286	2050.871216755	714.85
2055.597100415	2056.123411304	526.31
2059.68911349	2060.32546584	636.35
2065.24042852	2065.577712847	337.28
2070.477122177	2070.829963308	352.84
Total events: 20
