9578.846680892	9579.00979591	163.12
9587.745371143	9587.802851249	57.48
9598.305529887	9598.317238423	11.71
9602.19988495	9602.26650338	66.62
9609.187532507	9609.24913053	61.60
9615.638954078	9615.711445086	72.49
9625.732660439	9625.823608151	90.95
9631.557224216	9631.579977079	22.75
9639.143132678	9639.164474929	21.34
9642.110880456	9642.19612215	85.24
9646.059579882	9646.134944039	75.36
9651.024771778	9651.086339536	61.57
9658.576842572	9658.662018026	85.18
9664.935512952	9665.031736262	96.22
9674.009691958	9674.013450448	3.76
9682.045192751	9682.088697078	43.50
9689.609416511	9689.659597747	50.18
9695.582376399	9695.61618007	33.80
9698.510538946	9698.546770149	36.23
9704.655340994	9704.700434531	45.09
Total events: 20
