Java Processes Log
iteration: 146 ; CPU: 7.48% ; MEM: 831.67 MB
iteration: 147 ; CPU: 7.50% ; MEM: 831.67 MB
iteration: 148 ; CPU: 7.26% ; MEM: 831.67 MB
iteration: 149 ; CPU: 7.26% ; MEM: 831.67 MB
iteration: 150 ; CPU: 7.30% ; MEM: 831.67 MB
iteration: 151 ; CPU: 7.30% ; MEM: 831.67 MB
iteration: 152 ; CPU: 7.30% ; MEM: 831.67 MB
iteration: 153 ; CPU: 7.10% ; MEM: 831.67 MB
iteration: 154 ; CPU: 7.10% ; MEM: 831.67 MB
iteration: 155 ; CPU: 7.10% ; MEM: 831.67 MB
iteration: 156 ; CPU: 7.10% ; MEM: 831.67 MB
iteration: 157 ; CPU: 6.91% ; MEM: 831.67 MB
iteration: 158 ; CPU: 6.93% ; MEM: 831.67 MB
iteration: 159 ; CPU: 6.95% ; MEM: 831.67 MB
iteration: 160 ; CPU: 6.95% ; MEM: 831.67 MB
iteration: 161 ; CPU: 6.78% ; MEM: 831.67 MB
iteration: 162 ; CPU: 6.78% ; MEM: 831.67 MB
iteration: 163 ; CPU: 6.78% ; MEM: 831.67 MB
iteration: 164 ; CPU: 6.78% ; MEM: 831.67 MB
iteration: 165 ; CPU: 6.61% ; MEM: 831.67 MB
iteration: 166 ; CPU: 6.63% ; MEM: 831.67 MB
iteration: 167 ; CPU: 6.63% ; MEM: 831.67 MB
iteration: 168 ; CPU: 6.63% ; MEM: 831.67 MB
iteration: 169 ; CPU: 6.48% ; MEM: 831.67 MB
iteration: 170 ; CPU: 6.48% ; MEM: 831.67 MB
iteration: 171 ; CPU: 6.48% ; MEM: 831.67 MB
iteration: 172 ; CPU: 6.50% ; MEM: 831.67 MB
iteration: 173 ; CPU: 6.35% ; MEM: 831.67 MB
iteration: 174 ; CPU: 6.35% ; MEM: 831.73 MB
iteration: 175 ; CPU: 6.36% ; MEM: 831.73 MB
iteration: 176 ; CPU: 6.36% ; MEM: 831.73 MB
iteration: 177 ; CPU: 6.23% ; MEM: 831.97 MB
iteration: 178 ; CPU: 6.25% ; MEM: 831.97 MB
iteration: 179 ; CPU: 6.25% ; MEM: 831.97 MB
iteration: 180 ; CPU: 6.11% ; MEM: 831.97 MB
iteration: 181 ; CPU: 6.11% ; MEM: 831.97 MB
iteration: 182 ; CPU: 6.11% ; MEM: 831.97 MB
iteration: 183 ; CPU: 6.13% ; MEM: 831.97 MB
iteration: 184 ; CPU: 6.13% ; MEM: 831.97 MB
iteration: 185 ; CPU: 6.01% ; MEM: 831.97 MB
iteration: 186 ; CPU: 6.01% ; MEM: 831.97 MB
iteration: 187 ; CPU: 6.01% ; MEM: 831.97 MB
iteration: 188 ; CPU: 6.01% ; MEM: 831.97 MB
iteration: 189 ; CPU: 5.91% ; MEM: 831.97 MB
iteration: 190 ; CPU: 5.91% ; MEM: 831.97 MB
iteration: 191 ; CPU: 5.93% ; MEM: 831.97 MB
iteration: 192 ; CPU: 5.93% ; MEM: 831.97 MB
iteration: 193 ; CPU: 5.93% ; MEM: 831.97 MB
iteration: 194 ; CPU: 5.80% ; MEM: 831.97 MB
iteration: 195 ; CPU: 5.81% ; MEM: 831.97 MB
iteration: 196 ; CPU: 5.81% ; MEM: 831.97 MB
iteration: 197 ; CPU: 5.83% ; MEM: 831.97 MB
iteration: 198 ; CPU: 5.71% ; MEM: 831.97 MB
iteration: 199 ; CPU: 5.71% ; MEM: 831.97 MB
iteration: 200 ; CPU: 5.71% ; MEM: 831.97 MB
iteration: 201 ; CPU: 5.71% ; MEM: 831.97 MB
iteration: 202 ; CPU: 5.73% ; MEM: 831.97 MB
iteration: 203 ; CPU: 5.63% ; MEM: 831.97 MB
iteration: 204 ; CPU: 5.63% ; MEM: 831.97 MB
iteration: 205 ; CPU: 5.63% ; MEM: 831.97 MB
iteration: 206 ; CPU: 5.63% ; MEM: 831.97 MB
iteration: 207 ; CPU: 5.51% ; MEM: 831.97 MB
iteration: 208 ; CPU: 5.51% ; MEM: 831.97 MB
iteration: 209 ; CPU: 5.53% ; MEM: 831.97 MB
iteration: 210 ; CPU: 5.53% ; MEM: 831.97 MB
iteration: 211 ; CPU: 5.41% ; MEM: 832.23 MB
