10531.740315279	10532.235548911	495.23
10539.088524128	10539.837557577	749.03
10545.613653072	10545.84220619	228.55
10548.739779365	10548.996054873	256.28
10555.830698786	10556.350492651	519.79
10565.533146249	10565.840577924	307.43
10570.252246119	10571.093929282	841.68
10573.676134781	10574.247349172	571.21
10579.383523109	10579.840291915	456.77
10583.345826982	10583.743557595	397.73
10588.66579446	10588.997179446	331.38
10595.743835996	10596.350792393	606.96
10598.536422488	10599.090849563	554.43
10603.350086597	10603.743987897	393.90
10605.872876439	10606.89667343	1023.80
10611.54286676	10612.150317182	607.45
10619.325878702	10619.842160719	516.28
10630.778329458	10631.096307583	317.98
10640.441100006	10640.692910421	251.81
10644.046097739	10644.795686444	749.59
Total events: 20
