1567.969166369	1568.019869548	50.70
1571.759573677	1571.821634122	62.06
1575.402440145	1575.445975466	43.54
1579.888068201	1579.975649139	87.58
1584.61348887	1584.70609178	92.60
1588.413086106	1588.430807414	17.72
1592.677089435	1592.758414111	81.32
1597.067468761	1597.085516082	18.05
1600.822712843	1600.909827459	87.11
1605.219761841	1605.237451157	17.69
1610.004070479	1610.067980002	63.91
1613.160077827	1613.188210778	28.13
1617.66526747	1617.716245335	50.98
1622.04281959	1622.143647896	100.83
1627.069213441	1627.074141738	4.93
1631.891003363	1631.903766315	12.76
1636.65031632	1636.733253396	82.94
1640.17675385	1640.255293868	78.54
1643.618921738	1643.676395291	57.47
1646.775812085	1646.795863345	20.05
Total events: 20
