9979.450412466	9979.982836513	532.42
9984.061316672	9984.186709717	125.39
9992.180733195	9992.823954261	643.22
10001.514856168	10001.979009524	464.15
10004.335353811	10005.133054283	797.70
10014.442869401	10014.625620858	182.75
10024.862408308	10025.130473882	268.07
10034.107297337	10034.626703458	519.41
10038.028745122	10038.82989087	801.15
10048.081499828	10048.28408591	202.59
10054.225090302	10054.628417802	403.33
10062.698076912	10063.032723519	334.65
10071.741070909	10072.078643634	337.57
10080.625878875	10080.932760249	306.88
10085.477941599	10086.185836122	707.89
10096.100749726	10096.730772052	630.02
10098.945437809	10099.883854977	938.42
10110.042090949	10110.079437507	37.35
10112.085592325	10112.832832991	747.24
10120.056764256	10120.936904796	880.14
Total events: 20
