3366.390777657	3366.517987238	127.21
3369.85157161	3369.906951924	55.38
3372.916730538	3372.940942308	24.21
3376.625710664	3376.680623081	54.91
3380.518542275	3380.61554729	97.01
3384.760747465	3384.851550742	90.80
3389.194361645	3389.292845127	98.48
3394.064043897	3394.132459205	68.42
3398.552416911	3398.569000553	16.58
3403.241475199	3403.309442022	67.97
3406.922554159	3406.944744921	22.19
3410.735503246	3410.780843381	45.34
3413.860413021	3413.909310953	48.90
3418.001486589	3418.042131065	40.64
3422.782595885	3422.884439028	101.84
3427.295952562	3427.321307904	25.36
3431.889126604	3431.959638283	70.51
3435.414796975	3435.491814445	77.02
3439.687734504	3439.730036141	42.30
3442.968620038	3443.058263322	89.64
Total events: 20
