2351.316114573	2351.512034889	195.92
2356.41311812	2356.597943908	184.83
2361.269115996	2361.850161728	581.05
2366.345116	2367.102377723	757.26
2371.889125885	2372.354546711	465.42
2375.788097112	2376.556570569	768.47
2380.525095937	2380.75852504	233.43
2385.34887411	2386.010806606	661.93
2389.229134354	2390.212789757	983.66
2393.380097001	2394.41484144	1034.74
2398.048447313	2398.616793578	568.35
2403.373121674	2403.868925012	495.80
2408.762473796	2409.12103757	358.56
2412.332100198	2413.322977597	990.88
2417.89956985	2418.574899738	675.33
2422.134193465	2422.776889697	642.70
2426.593085154	2426.978709412	385.62
2431.889123831	2432.230846148	341.72
2435.838092235	2436.432625535	594.53
2441.085095669	2441.68449549	599.40
Total events: 20
