2605.070267634	2605.420657399	350.39
2608.71527071	2609.54426055	828.99
2614.460256681	2614.797196163	336.94
2618.441867266	2618.999882233	558.01
2622.10270653	2622.15233691	49.63
2626.465373979	2627.404998101	939.62
2630.612245265	2631.607665681	995.42
2636.515620554	2636.859803836	344.18
2640.886168171	2641.062280318	176.11
2644.486155746	2645.264760873	778.61
2649.651188147	2650.517194399	866.01
2653.924167705	2654.719562731	795.40
2659.373602869	2659.972257442	598.65
2663.742894526	2664.174481739	431.59
2668.324264665	2668.378019493	53.75
2672.154077308	2672.579104737	425.03
2675.826905697	2676.781319459	954.41
2680.509042314	2680.983867089	474.82
2685.147479422	2685.186180546	38.70
2688.796045938	2689.388252502	592.21
Total events: 20
