10311.781259016	10311.952024832	170.77
10315.410701766	10315.498162956	87.46
10324.645370155	10324.69441857	49.05
10335.673334961	10335.703677735	30.34
10339.278039049	10339.345252237	67.21
10344.144451119	10344.195005143	50.55
10346.888009443	10346.921000288	32.99
10349.855281277	10349.952178576	96.90
10360.742073833	10360.751145028	9.07
10365.796811833	10365.893132782	96.32
10370.26605951	10370.337506416	71.45
10372.622135547	10372.662585474	40.45
10378.265427751	10378.316156085	50.73
10385.371226138	10385.379371094	8.14
10390.8145459	10390.830572354	16.03
10393.929998392	10393.961225964	31.23
10402.041150563	10402.13537421	94.22
10408.715241631	10408.789275443	74.03
10418.887609094	10418.982818626	95.21
10427.621298019	10427.661032946	39.73
Total events: 20
