4132.155723812	4132.377085264	221.36
4136.919103394	4136.999239837	80.14
4141.340782194	4141.418597229	77.82
4145.136829485	4145.233327852	96.50
4149.500785587	4149.547548004	46.76
4153.716717856	4153.764775218	48.06
4157.122003612	4157.176190154	54.19
4160.530830865	4160.587694114	56.86
4165.052964402	4165.102491161	49.53
4167.737792167	4167.814030345	76.24
4171.588609507	4171.625988033	37.38
4174.546079167	4174.634899629	88.82
4177.708036575	4177.744593937	36.56
4182.003421823	4182.058041825	54.62
4186.114593041	4186.1699334	55.34
4189.274697531	4189.279460998	4.76
4194.155217016	4194.195648251	40.43
4198.051292047	4198.108099249	56.81
4201.479561503	4201.519691597	40.13
4204.06862185	4204.12912827	60.51
4207.787122533	4207.843224826	56.10
4210.845291812	4210.855306656	10.01
4213.253291844	4213.265217781	11.93
4218.006233021	4218.087470994	81.24
4222.161224927	4222.204316007	43.09
4225.388172562	4225.417574264	29.40
4228.07564486	4228.129318493	53.67
4231.550755335	4231.642549904	91.79
4235.686194341	4235.752032089	65.84
4239.276400685	4239.365730419	89.33
4242.313002793	4242.379200724	66.20
4247.343319909	4247.395741711	52.42
4251.714341952	4251.810566531	96.22
4256.806844658	4256.826986679	20.14
4259.176986488	4259.235861424	58.87
4264.116741421	4264.152577402	35.84
4266.792337706	4266.863663295	71.33
4271.307588356	4271.379485755	71.90
4274.035635677	4274.089422936	53.79
4276.296734958	4276.398139017	101.40
4279.199556897	4279.208392211	8.84
4282.826087515	4282.9206977	94.61
4285.969698255	4286.031479457	61.78
4289.2998697	4289.342786834	42.92
4292.404389046	4292.453503857	49.11
4296.383008099	4296.46664335	83.64
4298.860733661	4298.875879414	15.15
4301.556007031	4301.584937787	28.93
4304.397989312	4304.494939664	96.95
4307.662318359	4307.703250155	40.93
4309.945582075	4310.010196808	64.61
4312.367258413	4312.417460175	50.20
4315.945885521	4316.027273459	81.39
4320.321147041	4320.341371251	20.22
4322.690948841	4322.74903669	58.09
4325.50059551	4325.557312918	56.72
4327.728364291	4327.764751792	36.39
4332.451305663	4332.479020425	27.71
4335.547793038	4335.587856296	40.06
4339.54044253	4339.600952182	60.51
4344.093408239	4344.114385992	20.98
4346.787916686	4346.823312238	35.40
4350.052491454	4350.133243579	80.75
4353.366502659	4353.444018032	77.52
4358.019820976	4358.057984375	38.16
4361.469332712	4361.568970229	99.64
4365.981751673	4366.083776083	102.02
4370.116048633	4370.195557135	79.51
4372.743973725	4372.803434029	59.46
4376.666542219	4376.728352182	61.81
4379.707160994	4379.73806015	30.90
4383.643621216	4383.649552509	5.93
4387.409892276	4387.459528723	49.64
4392.449314262	4392.4712558	21.94
4396.27727821	4396.281754788	4.48
4398.341637195	4398.388546893	46.91
4402.143686081	4402.198951467	55.27
4405.873044867	4405.910481893	37.44
4408.16401987	4408.218254077	54.23
4410.466489772	4410.530415339	63.93
4413.470836649	4413.542880116	72.04
4416.434407276	4416.467332593	32.93
4419.834323956	4419.878569756	44.25
4423.508752184	4423.589694603	80.94
4428.19180638	4428.205382553	13.58
4432.597002386	4432.626964819	29.96
4436.754967112	4436.807830528	52.86
4440.673445703	4440.720123832	46.68
4445.627510962	4445.635360601	7.85
4450.35837736	4450.449443615	91.07
4453.493115473	4453.559492252	66.38
4456.523055698	4456.568670273	45.61
4460.068186102	4460.077897995	9.71
4464.997507466	4465.090480101	92.97
4469.433916729	4469.501563474	67.65
4473.872649414	4473.912144577	39.50
4478.870557661	4478.923611572	53.05
4481.25260187	4481.330382577	77.78
4484.989727059	4485.039014973	49.29
4488.136994241	4488.146777957	9.78

Total events: 100
Min delay: 4.48 ms
Max delay: 221.36 ms
Avg delay: 54.72 ms
Std dev: 30.42 ms
