Java Processes Log
iteration: 100 ; CPU: 10.91% ; MEM: 770.81 MB
iteration: 101 ; CPU: 10.93% ; MEM: 770.81 MB
iteration: 102 ; CPU: 10.95% ; MEM: 770.81 MB
iteration: 103 ; CPU: 10.53% ; MEM: 770.81 MB
iteration: 104 ; CPU: 10.55% ; MEM: 770.81 MB
iteration: 105 ; CPU: 10.55% ; MEM: 770.81 MB
iteration: 106 ; CPU: 10.58% ; MEM: 770.81 MB
iteration: 107 ; CPU: 10.18% ; MEM: 770.81 MB
iteration: 108 ; CPU: 10.21% ; MEM: 770.87 MB
iteration: 109 ; CPU: 10.23% ; MEM: 770.87 MB
iteration: 110 ; CPU: 10.25% ; MEM: 770.87 MB
iteration: 111 ; CPU: 9.88% ; MEM: 770.87 MB
iteration: 112 ; CPU: 9.90% ; MEM: 770.87 MB
iteration: 113 ; CPU: 9.91% ; MEM: 770.87 MB
iteration: 114 ; CPU: 9.93% ; MEM: 770.87 MB
iteration: 115 ; CPU: 9.95% ; MEM: 770.87 MB
iteration: 116 ; CPU: 9.61% ; MEM: 770.87 MB
iteration: 117 ; CPU: 9.70% ; MEM: 774.03 MB
iteration: 118 ; CPU: 9.71% ; MEM: 774.03 MB
iteration: 119 ; CPU: 9.73% ; MEM: 774.03 MB
iteration: 120 ; CPU: 9.73% ; MEM: 774.03 MB
iteration: 121 ; CPU: 9.75% ; MEM: 774.03 MB
iteration: 122 ; CPU: 9.43% ; MEM: 774.03 MB
iteration: 123 ; CPU: 9.46% ; MEM: 774.03 MB
iteration: 124 ; CPU: 9.48% ; MEM: 774.03 MB
iteration: 125 ; CPU: 9.16% ; MEM: 774.03 MB
iteration: 126 ; CPU: 9.21% ; MEM: 774.03 MB
iteration: 127 ; CPU: 9.23% ; MEM: 774.03 MB
iteration: 128 ; CPU: 9.25% ; MEM: 774.03 MB
iteration: 129 ; CPU: 9.28% ; MEM: 774.03 MB
iteration: 130 ; CPU: 9.00% ; MEM: 774.03 MB
iteration: 131 ; CPU: 9.01% ; MEM: 774.03 MB
iteration: 132 ; CPU: 9.01% ; MEM: 774.12 MB
iteration: 133 ; CPU: 9.03% ; MEM: 774.12 MB
iteration: 134 ; CPU: 8.76% ; MEM: 774.12 MB
iteration: 135 ; CPU: 8.78% ; MEM: 774.12 MB
iteration: 136 ; CPU: 8.81% ; MEM: 774.13 MB
iteration: 137 ; CPU: 8.86% ; MEM: 774.16 MB
iteration: 138 ; CPU: 8.86% ; MEM: 774.16 MB
iteration: 139 ; CPU: 8.61% ; MEM: 774.16 MB
iteration: 140 ; CPU: 8.63% ; MEM: 774.16 MB
iteration: 141 ; CPU: 8.65% ; MEM: 774.16 MB
iteration: 142 ; CPU: 8.66% ; MEM: 774.16 MB
iteration: 143 ; CPU: 8.45% ; MEM: 774.41 MB
iteration: 144 ; CPU: 8.46% ; MEM: 774.41 MB
iteration: 145 ; CPU: 8.48% ; MEM: 774.44 MB
iteration: 146 ; CPU: 8.50% ; MEM: 774.53 MB
iteration: 147 ; CPU: 8.28% ; MEM: 774.59 MB
iteration: 148 ; CPU: 8.30% ; MEM: 774.59 MB
iteration: 149 ; CPU: 8.30% ; MEM: 774.59 MB
iteration: 150 ; CPU: 8.33% ; MEM: 774.71 MB
iteration: 151 ; CPU: 8.13% ; MEM: 774.80 MB
iteration: 152 ; CPU: 8.15% ; MEM: 774.80 MB
iteration: 153 ; CPU: 8.18% ; MEM: 774.80 MB
iteration: 154 ; CPU: 7.96% ; MEM: 774.80 MB
iteration: 155 ; CPU: 7.98% ; MEM: 774.80 MB
iteration: 156 ; CPU: 8.00% ; MEM: 774.80 MB
iteration: 157 ; CPU: 8.01% ; MEM: 774.80 MB
iteration: 158 ; CPU: 8.03% ; MEM: 774.99 MB
iteration: 159 ; CPU: 7.83% ; MEM: 774.99 MB
iteration: 160 ; CPU: 7.85% ; MEM: 774.99 MB
iteration: 161 ; CPU: 7.85% ; MEM: 774.99 MB
iteration: 162 ; CPU: 7.88% ; MEM: 774.99 MB
iteration: 163 ; CPU: 7.71% ; MEM: 775.07 MB
iteration: 164 ; CPU: 7.71% ; MEM: 775.07 MB
iteration: 165 ; CPU: 7.73% ; MEM: 775.07 MB
iteration: 166 ; CPU: 7.75% ; MEM: 775.07 MB
iteration: 167 ; CPU: 7.58% ; MEM: 775.07 MB
iteration: 168 ; CPU: 7.60% ; MEM: 775.07 MB
iteration: 169 ; CPU: 7.60% ; MEM: 775.07 MB
