ROS Processes Log
iteration: 97 ; CPU: 73.25% ; MEM: 1895.64 MB
iteration: 98 ; CPU: 73.26% ; MEM: 1895.64 MB
iteration: 99 ; CPU: 73.30% ; MEM: 1895.64 MB
iteration: 100 ; CPU: 73.56% ; MEM: 1895.64 MB
iteration: 101 ; CPU: 72.65% ; MEM: 1895.64 MB
iteration: 102 ; CPU: 72.66% ; MEM: 1895.64 MB
iteration: 103 ; CPU: 72.70% ; MEM: 1895.64 MB
iteration: 104 ; CPU: 72.93% ; MEM: 1896.07 MB
iteration: 105 ; CPU: 73.15% ; MEM: 1896.07 MB
iteration: 106 ; CPU: 72.20% ; MEM: 1896.07 MB
iteration: 107 ; CPU: 72.25% ; MEM: 1896.07 MB
iteration: 108 ; CPU: 72.48% ; MEM: 1896.07 MB
iteration: 109 ; CPU: 72.71% ; MEM: 1899.67 MB
iteration: 110 ; CPU: 72.75% ; MEM: 1899.76 MB
iteration: 111 ; CPU: 71.90% ; MEM: 1899.76 MB
iteration: 112 ; CPU: 71.93% ; MEM: 1899.78 MB
iteration: 113 ; CPU: 72.33% ; MEM: 1899.78 MB
iteration: 114 ; CPU: 72.45% ; MEM: 1899.78 MB
iteration: 115 ; CPU: 71.58% ; MEM: 1899.78 MB
iteration: 116 ; CPU: 71.61% ; MEM: 1899.78 MB
iteration: 117 ; CPU: 71.85% ; MEM: 1899.85 MB
iteration: 118 ; CPU: 72.11% ; MEM: 1899.85 MB
iteration: 119 ; CPU: 71.28% ; MEM: 1899.85 MB
iteration: 120 ; CPU: 71.31% ; MEM: 1899.85 MB
iteration: 121 ; CPU: 71.38% ; MEM: 1899.85 MB
iteration: 122 ; CPU: 71.75% ; MEM: 1899.85 MB
iteration: 123 ; CPU: 71.81% ; MEM: 1899.85 MB
iteration: 124 ; CPU: 71.00% ; MEM: 1899.85 MB
iteration: 125 ; CPU: 71.01% ; MEM: 1899.85 MB
iteration: 126 ; CPU: 71.41% ; MEM: 1899.85 MB
iteration: 127 ; CPU: 71.50% ; MEM: 1899.85 MB
iteration: 128 ; CPU: 70.75% ; MEM: 1899.85 MB
iteration: 129 ; CPU: 70.78% ; MEM: 1899.85 MB
iteration: 130 ; CPU: 71.13% ; MEM: 1899.85 MB
iteration: 131 ; CPU: 71.18% ; MEM: 1899.85 MB
iteration: 132 ; CPU: 70.53% ; MEM: 1899.85 MB
iteration: 133 ; CPU: 70.76% ; MEM: 1899.85 MB
iteration: 134 ; CPU: 70.95% ; MEM: 1899.85 MB
iteration: 135 ; CPU: 71.20% ; MEM: 1899.85 MB
iteration: 136 ; CPU: 70.50% ; MEM: 1900.08 MB
iteration: 137 ; CPU: 70.53% ; MEM: 1900.08 MB
iteration: 138 ; CPU: 70.71% ; MEM: 1900.08 MB
iteration: 139 ; CPU: 70.76% ; MEM: 1900.08 MB
iteration: 140 ; CPU: 70.10% ; MEM: 1900.08 MB
iteration: 141 ; CPU: 70.30% ; MEM: 1900.08 MB
iteration: 142 ; CPU: 70.48% ; MEM: 1900.08 MB
iteration: 143 ; CPU: 70.71% ; MEM: 1900.08 MB
iteration: 144 ; CPU: 70.08% ; MEM: 1900.08 MB
iteration: 145 ; CPU: 70.11% ; MEM: 1900.08 MB
iteration: 146 ; CPU: 70.31% ; MEM: 1900.08 MB
iteration: 147 ; CPU: 70.50% ; MEM: 1900.08 MB
iteration: 148 ; CPU: 69.88% ; MEM: 1900.08 MB
iteration: 149 ; CPU: 69.91% ; MEM: 1900.08 MB
iteration: 150 ; CPU: 70.13% ; MEM: 1900.08 MB
iteration: 151 ; CPU: 70.15% ; MEM: 1900.08 MB
iteration: 152 ; CPU: 70.36% ; MEM: 1900.08 MB
iteration: 153 ; CPU: 69.75% ; MEM: 1900.08 MB
iteration: 154 ; CPU: 69.96% ; MEM: 1900.08 MB
iteration: 155 ; CPU: 70.16% ; MEM: 1900.08 MB
iteration: 156 ; CPU: 70.18% ; MEM: 1900.08 MB
iteration: 157 ; CPU: 69.53% ; MEM: 1900.08 MB
iteration: 158 ; CPU: 69.58% ; MEM: 1900.08 MB
iteration: 159 ; CPU: 69.83% ; MEM: 1900.08 MB
iteration: 160 ; CPU: 70.01% ; MEM: 1900.08 MB
iteration: 161 ; CPU: 69.38% ; MEM: 1900.08 MB
iteration: 162 ; CPU: 69.63% ; MEM: 1900.08 MB
iteration: 163 ; CPU: 69.81% ; MEM: 1900.08 MB
iteration: 164 ; CPU: 69.86% ; MEM: 1900.08 MB
iteration: 165 ; CPU: 69.26% ; MEM: 1900.08 MB
iteration: 166 ; CPU: 69.65% ; MEM: 1900.08 MB
iteration: 167 ; CPU: 69.66% ; MEM: 1900.08 MB
iteration: 168 ; CPU: 69.70% ; MEM: 1900.08 MB
iteration: 169 ; CPU: 69.11% ; MEM: 1900.08 MB
iteration: 170 ; CPU: 69.50% ; MEM: 1900.08 MB
iteration: 171 ; CPU: 69.51% ; MEM: 1900.08 MB
iteration: 172 ; CPU: 69.56% ; MEM: 1900.08 MB
iteration: 173 ; CPU: 68.96% ; MEM: 1900.08 MB
iteration: 174 ; CPU: 69.31% ; MEM: 1900.14 MB
iteration: 175 ; CPU: 69.41% ; MEM: 1900.14 MB
iteration: 176 ; CPU: 69.61% ; MEM: 1900.14 MB
iteration: 177 ; CPU: 69.21% ; MEM: 1900.38 MB
iteration: 178 ; CPU: 69.25% ; MEM: 1900.38 MB
iteration: 179 ; CPU: 69.30% ; MEM: 1900.38 MB
iteration: 180 ; CPU: 69.48% ; MEM: 1900.38 MB
iteration: 181 ; CPU: 69.10% ; MEM: 1900.38 MB
iteration: 182 ; CPU: 69.15% ; MEM: 1900.38 MB
iteration: 183 ; CPU: 69.18% ; MEM: 1900.38 MB
iteration: 184 ; CPU: 69.38% ; MEM: 1900.38 MB
iteration: 185 ; CPU: 68.78% ; MEM: 1900.38 MB
iteration: 186 ; CPU: 68.98% ; MEM: 1900.38 MB
iteration: 187 ; CPU: 69.05% ; MEM: 1900.38 MB
iteration: 188 ; CPU: 69.08% ; MEM: 1900.38 MB
iteration: 189 ; CPU: 69.31% ; MEM: 1900.38 MB
iteration: 190 ; CPU: 68.90% ; MEM: 1900.38 MB
iteration: 191 ; CPU: 68.93% ; MEM: 1900.38 MB
iteration: 192 ; CPU: 68.98% ; MEM: 1900.38 MB
iteration: 193 ; CPU: 69.20% ; MEM: 1900.38 MB
iteration: 194 ; CPU: 68.75% ; MEM: 1900.38 MB
iteration: 195 ; CPU: 68.80% ; MEM: 1900.38 MB
iteration: 196 ; CPU: 68.81% ; MEM: 1900.38 MB
iteration: 197 ; CPU: 69.05% ; MEM: 1900.38 MB
iteration: 198 ; CPU: 68.63% ; MEM: 1900.38 MB
iteration: 199 ; CPU: 68.68% ; MEM: 1900.38 MB
